frame,track_id,x1,y1,x2,y2
0,1,690,740,733,858
0,2,1386,878,1431,1014
0,3,1195,820,1252,951
0,4,1838,623,1879,732
0,5,959,575,1013,679
0,6,73,393,94,472
0,7,686,290,710,351
0,8,1431,395,1461,465
0,9,439,557,488,639
0,10,0,745,15,837
1,1,693,740,743,862
1,2,1385,877,1430,1014
1,3,1196,820,1252,951
1,4,1837,622,1882,732
1,5,960,577,1017,676
1,6,74,394,97,471
1,7,687,291,710,351
1,8,1433,395,1460,465
1,9,440,555,488,638
1,10,0,745,27,844
2,1,694,741,751,864
2,2,1385,877,1430,1014
2,3,1197,820,1252,950
2,4,1836,622,1884,732
2,5,962,577,1019,679
2,6,75,394,98,471
2,7,687,291,710,351
2,8,1433,396,1461,466
2,9,441,555,488,639
2,10,0,745,32,847
3,1,701,741,765,865
3,2,1384,877,1428,1014
3,3,1199,819,1251,949
3,4,1835,620,1890,731
3,5,966,578,1021,679
3,6,78,395,99,471
3,7,687,292,710,351
3,8,1433,396,1460,467
3,9,443,554,488,638
3,10,0,747,33,852
3,11,685,470,718,540
4,1,708,743,774,867
4,2,1382,877,1424,1014
4,3,1199,819,1249,948
4,4,1831,619,1893,729
4,5,975,581,1021,681
4,6,77,395,100,471
4,7,687,293,710,352
4,8,1430,396,1459,469
4,9,444,554,487,639
4,10,0,749,31,858
4,11,682,471,714,539
5,1,714,745,779,870
5,2,1379,876,1421,1013
5,3,1197,818,1247,947
5,4,1830,619,1895,727
5,5,981,582,1021,682
5,6,77,396,100,471
5,7,686,293,709,352
5,8,1428,397,1459,469
5,9,445,553,486,639
5,10,0,751,33,861
5,11,680,470,710,538
6,1,722,748,778,871
6,2,1375,876,1417,1012
6,3,1195,818,1244,945
6,4,1829,618,1894,726
6,5,983,584,1021,681
6,6,75,395,98,472
6,7,683,292,707,352
6,8,1422,397,1456,470
6,9,445,552,484,638
6,10,0,754,32,861
6,11,674,470,705,540
7,1,734,751,781,871
7,2,1370,876,1412,1011
7,3,1192,817,1241,944
7,4,1830,618,1894,725
7,5,980,584,1022,680
7,6,72,395,96,473
7,7,681,293,703,352
7,8,1417,399,1453,472
7,9,445,552,482,638
7,10,0,756,31,860
7,11,668,470,698,542
8,1,745,753,785,870
8,2,1368,876,1409,1011
8,3,1191,817,1239,943
8,4,1833,619,1895,724
8,5,979,584,1024,680
8,6,70,394,95,473
8,7,679,294,701,352
8,8,1415,399,1452,473
8,10,0,758,32,860
8,11,665,470,695,543
9,1,751,752,792,870
9,2,1364,877,1404,1011
9,3,1187,817,1236,942
9,4,1839,619,1896,724
9,5,976,582,1026,681
9,6,69,395,93,474
9,7,676,294,698,352
9,8,1411,401,1448,475
9,10,0,759,33,861
9,11,657,472,688,545
10,1,753,753,798,871
10,2,1359,877,1400,1011
10,3,1181,818,1234,942
10,4,1846,618,1898,725
10,5,975,581,1030,682
10,6,67,397,92,473
10,7,674,294,696,353
10,8,1412,403,1445,477
10,10,0,760,33,868
10,11,654,472,682,549
11,1,754,752,803,873
11,2,1356,877,1397,1011
11,3,1178,819,1233,942
11,4,1850,617,1901,725
11,5,975,581,1033,683
11,6,67,397,91,473
11,7,672,294,694,353
11,8,1415,404,1444,477
11,10,0,761,34,873
11,11,652,475,679,552
12,1,754,753,815,875
12,2,1352,877,1393,1011
12,3,1174,821,1233,944
12,4,1848,616,1902,725
12,5,976,582,1034,683
12,6,65,398,90,473
12,7,669,294,692,354
12,10,0,763,34,880
12,11,646,478,675,554
12,9,441,551,471,639
13,1,754,755,827,877
13,2,1349,878,1388,1011
13,3,1172,822,1234,943
13,4,1846,615,1903,724
13,5,980,583,1037,685
13,6,63,398,90,472
13,7,667,295,689,355
13,10,0,765,34,886
13,11,642,478,670,556
13,9,440,552,469,639
14,1,755,757,835,880
14,2,1346,878,1386,1011
14,3,1172,821,1235,943
14,4,1847,615,1904,723
14,5,985,584,1039,685
14,6,62,398,89,472
14,7,666,296,687,355
14,10,0,768,36,892
14,11,640,480,668,556
14,9,439,551,469,639
15,1,757,759,838,882
15,2,1341,878,1381,1011
15,3,1168,820,1235,940
15,4,1850,615,1905,723
15,5,990,584,1040,687
15,6,61,398,88,474
15,7,663,297,684,356
15,10,0,772,34,895
15,11,636,480,664,556
15,8,1393,405,1433,480
16,1,764,763,837,884
16,2,1337,879,1377,1010
16,3,1163,820,1233,932
16,4,1857,616,1904,723
16,5,998,586,1042,688
16,6,59,399,86,475
16,7,660,299,682,357
16,10,0,776,33,896
16,11,631,480,660,554
16,8,1396,405,1429,481
17,1,770,765,836,884
17,2,1336,878,1373,1010
17,3,1158,821,1233,928
17,4,1862,617,1904,723
17,5,1005,586,1046,687
17,6,57,400,85,476
17,7,659,299,680,358
17,10,0,778,33,897
17,11,627,480,657,552
17,8,1399,404,1428,481
18,1,779,766,835,885
18,2,1329,878,1368,1008
18,3,1156,820,1228,927
18,4,1862,617,1902,722
18,5,1005,586,1047,688
18,6,53,400,82,476
18,7,655,301,675,358
18,10,0,781,32,897
18,11,621,481,652,554
18,8,1395,406,1422,483
18,9,428,551,461,642
19,1,791,766,834,887
19,2,1322,879,1361,1008
19,3,1158,819,1221,926
19,4,1859,617,1900,721
19,5,1003,586,1049,689
19,7,650,302,670,359
19,10,0,782,32,901
19,11,610,483,646,562
19,9,423,553,459,642
20,1,798,766,836,889
20,2,1319,879,1358,1008
20,3,1162,819,1218,926
20,4,1856,617,1901,721
20,5,1001,586,1049,689
20,7,647,302,668,359
20,10,0,784,33,906
20,11,605,484,643,567
20,8,1387,409,1415,485
21,1,800,766,839,890
21,2,1311,878,1351,1008
21,3,1158,819,1210,927
21,4,1846,616,1900,720
21,5,996,587,1048,689
21,7,641,303,662,361
21,10,0,789,32,910
21,11,598,487,635,571
